"oteam_name","year","lg","w","l","t","w_l","playoffs","att","cteam_name","team","venue","address","city","lat","lng"
"Boston Red Stockings",1876,"NL",39,31,0,"0.557",NULL,NULL,"Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Red Stockings",1877,"NL",42,18,1,"0.7",NULL,NULL,"Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Red Stockings",1878,"NL",41,19,0,"0.683",NULL,NULL,"Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Red Stockings",1879,"NL",54,30,0,"0.643",NULL,NULL,"Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Red Stockings",1880,"NL",40,44,2,"0.476",NULL,NULL,"Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Red Stockings",1881,"NL",38,45,0,"0.458",NULL,NULL,"Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Red Stockings",1882,"NL",45,39,1,"0.536",NULL,NULL,"Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Beaneaters",1883,"NL",63,35,0,"0.643",NULL,NULL,"Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Beaneaters",1884,"NL",73,38,5,"0.658",NULL,NULL,"Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Beaneaters",1885,"NL",46,66,1,"0.411",NULL,NULL,"Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Beaneaters",1886,"NL",56,61,1,"0.479",NULL,NULL,"Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Beaneaters",1887,"NL",61,60,6,"0.504",NULL,NULL,"Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Beaneaters",1888,"NL",70,64,3,"0.522",NULL,NULL,"Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Beaneaters",1889,"NL",83,45,5,"0.648",NULL,NULL,"Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Beaneaters",1890,"NL",76,57,1,"0.571",NULL,"147539","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Beaneaters",1891,"NL",87,51,2,"0.63",NULL,"184472","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Beaneaters",1892,"NL",102,48,2,"0.68","Won Series (5-0-1)","146421","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Beaneaters",1893,"NL",86,43,2,"0.667",NULL,"193300","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
