wins,attend
0.574,1170546
0.574,1143294
0.497,1241201
0.512,1712980
0.627,2090145
0.599,2011167
0.537,1682783
0.469,1629736
0.556,1604671
0.481,1196894
0.5,1574046
0.534,1838413
0.506,1695270
0.444,1207079
0.512,1659287
0.426,1278215
0.531,1627256
0.457,1385147
0.578,1010247
0.568,2111906
0.488,2317914
0.519,2037448
0.623,2637563
0.491,2471974
0.586,3072122
0.469,2892799
0.531,3080980
0.432,2573225
0.519,2448699
0.512,2418483
0.537,2844977
0.465,1866544
0.434,1756727
0.543,2654718
0.451,2634014
0.512,3195691
0.466,3225334
0.586,3336493
0.574,3109578
0.599,3011756
0.525,2910386
0.648,3048427
0.617,3538988
0.516,3407104
0.481,3552180
0.531,3432917
0.562,3343252
0.531,3301218
0.556,3093954
0.543,3262109
0.599,3369769
0.556,3540649
0.617,3520889
0.531,3444490
