wins,attend
93,1170546
93,1143294
80,1241201
83,1712980
101,2090145
97,2011167
87,1682783
76,1629736
90,1604671
75,1196894
81,1574046
86,1838413
82,1695270
72,1207079
83,1659287
69,1278215
86,1627256
74,1385147
59,1010247
92,2111906
79,2317914
84,2037448
101,2637563
79,2471974
95,3072122
76,2892799
86,3080980
70,2573225
84,2448699
83,2418483
87,2844977
53,1866544
62,1756727
88,2654718
73,2634014
83,3195691
75,3225334
95,3336493
93,3109578
97,3011756
85,2910386
105,3048427
100,3538988
83,3407104
78,3552180
86,3432917
91,3343252
86,3301218
90,3093954
88,3262109
97,3369769
90,3540649
100,3520889
86,3444490
