wins,attend
0.491,1712417
0.617,1797438
0.395,1206776
0.438,1200365
0.599,2288714
0.531,1857408
0.414,1192073
0.636,2627417
0.512,842259
0.562,2651650
0.512,1646757
0.457,1385147
0.414,1400327
0.556,2208175
0.549,1801985
0.549,1950124
0.451,1249278
0.537,1567787
0.377,1326528
0.481,1044021
0.512,1636058
0.475,1558555
0.556,2284464
0.574,2807360
0.543,3608881
0.37,921186
0.401,1323036
0.488,2041219
0.42,1735489
0.549,2376394
0.519,1024106
0.5,1607516
0.537,1200948
0.469,1070404
0.568,2111906
0.395,1154432
0.481,1275978
0.531,2318292
0.543,2119935
0.605,2042071
0.481,1782285
0.438,1479717
0.611,2132821
0.457,1190419
0.432,768941
0.568,1829636
0.525,1351962
0.432,2555016
0.537,2397131
0.432,858939
0.42,1112774
0.562,2257976
0.457,1294941
0.519,1225916
0.488,1251530
0.37,813537
0.488,2317914
0.549,1930415
0.494,1724892
0.525,2045784
0.531,1661618
0.457,2136988
0.432,1275887
0.642,2704794
0.494,1229862
0.519,1810018
0.5,2402997
0.488,3134824
0.5,1598692
0.556,1842695
0.537,1821815
0.475,1353281
0.5,2062693
0.463,773500
0.568,1983904
0.407,1001545
0.457,870372
0.519,2037448
0.407,1350137
0.478,2161534
0.553,1834619
0.37,655181
0.512,1184314
0.562,2162717
0.556,2567427
0.586,3264593
0.475,1651814
0.605,2761601
0.475,1334599
0.463,1830350
0.512,2210352
0.383,818697
0.457,1128696
0.623,2637563
0.451,1973176
0.444,1424313
0.531,1692432
0.537,1899437
0.593,1734276
0.469,2320794
0.568,2655872
0.451,3023208
0.438,1255453
0.667,2767601
0.556,2268030
0.469,1314646
0.395,1000917
0.457,1805716
0.512,1528748
0.414,1029045
0.537,1692002
0.414,1835692
0.481,2231551
0.475,1208060
0.519,2185205
0.377,1077898
0.605,2061830
0.469,1909902
0.512,2392471
0.463,2696299
0.451,2797409
0.562,1909244
0.525,2081976
0.568,3034129
0.549,2427672
0.5,1678921
0.494,2100110
0.494,1161193
0.401,1454061
0.556,1917168
0.481,1134255
0.586,3072122
0.463,1763053
0.593,2778429
0.562,1850324
0.549,2464851
0.481,1411610
0.543,2081162
0.506,1933505
0.463,2340925
0.584,2980262
0.537,1923238
0.562,3030672
0.642,2287335
0.404,1990041
0.512,1785297
0.469,2892799
0.537,2595175
0.537,2535208
0.512,2510012
0.574,2491942
0.463,1979320
0.451,1285542
0.364,1543656
0.531,1834908
0.568,2477700
0.562,2647291
0.5,1970735
0.494,2277438
0.537,2918710
0.611,2667225
0.549,2009031
0.568,2059701
0.451,1298443
0.512,2043993
0.549,3375883
0.5,1783533
0.401,980129
0.543,2528986
0.475,2243791
0.58,2002357
0.562,2400892
0.475,1225240
0.488,1495785
0.463,1310927
0.494,2555688
0.531,3002396
0.457,1752900
0.457,1751584
0.562,2732745
0.414,2006436
0.636,2900217
0.475,1992484
0.586,2049908
0.463,1856396
0.525,1975528
0.475,1509727
0.432,2573225
0.512,2057911
0.531,3885284
0.525,1373087
0.58,2140217
0.414,2552753
0.519,2562435
0.537,2934154
0.457,2372377
0.352,1051863
0.519,1641661
0.401,1196152
0.506,2161537
0.5,2416236
0.574,3348170
0.512,1478729
0.586,2293842
0.438,1863733
0.519,2713493
0.481,2050012
0.605,2065302
0.519,1804289
0.463,1737478
0.512,2147905
0.519,2448699
0.525,2297720
0.562,4001527
0.605,3077400
0.549,3567819
0.451,2468574
0.481,2126720
0.531,2681156
0.556,2315946
0.469,1224094
0.463,1423963
0.5,1211412
0.444,1867689
0.444,2065444
0.389,2473266
0.568,1857351
0.556,2482428
0.444,1779534
0.469,1748737
0.593,2494160
0.432,1927448
0.593,1829395
0.506,1721406
0.444,1560998
0.395,1651367
0.512,2418483
0.475,2198231
0.593,4028318
0.537,1669127
0.642,3884720
0.525,3644965
0.494,2422021
0.58,2581091
0.451,2453232
0.469,2177908
0.414,4483350
0.525,1971421
0.525,2084618
0.519,1934578
0.438,2057460
0.5,3170393
0.395,3064847
0.426,1688080
0.438,2048673
0.364,1873183
0.543,2416942
0.42,2035025
0.599,3137674
0.463,1650593
0.377,1375432
0.636,2606354
0.506,2052638
0.537,2844977
0.531,2244616
0.586,4057947
0.593,2901242
