wins,attend
100,1797438
64,1206776
70,1200365
97,2288714
86,1857408
67,1192073
103,2627417
83,842259
91,2651650
83,1646757
74,1385147
67,1400327
90,2208175
89,1801985
89,1950124
73,1249278
87,1567787
61,1326528
78,1044021
83,1636058
77,1558555
90,2284464
93,2807360
88,3608881
60,921186
65,1323036
79,2041219
68,1735489
89,2376394
84,1024106
81,1607516
87,1200948
76,1070404
92,2111906
64,1154432
78,1275978
86,2318292
88,2119935
98,2042071
78,1782285
71,1479717
99,2132821
74,1190419
70,768941
92,1829636
85,1351962
70,2555016
87,2397131
70,858939
68,1112774
91,2257976
74,1294941
84,1225916
79,1251530
60,813537
79,2317914
89,1930415
80,1724892
85,2045784
86,1661618
74,2136988
70,1275887
104,2704794
80,1229862
84,1810018
81,2402997
79,3134824
81,1598692
90,1842695
87,1821815
77,1353281
81,2062693
75,773500
92,1983904
66,1001545
74,870372
84,2037448
66,1350137
77,2161534
89,1834619
60,655181
83,1184314
91,2162717
90,2567427
95,3264593
77,1651814
98,2761601
77,1334599
75,1830350
83,2210352
62,818697
74,1128696
101,2637563
73,1973176
72,1424313
86,1692432
87,1899437
96,1734276
76,2320794
92,2655872
73,3023208
71,1255453
108,2767601
90,2268030
76,1314646
64,1000917
74,1805716
83,1528748
67,1029045
87,1692002
67,1835692
78,2231551
77,1208060
84,2185205
61,1077898
98,2061830
76,1909902
83,2392471
75,2696299
73,2797409
91,1909244
85,2081976
92,3034129
89,2427672
81,1678921
80,2100110
80,1161193
65,1454061
90,1917168
78,1134255
95,3072122
75,1763053
96,2778429
91,1850324
89,2464851
78,1411610
88,2081162
82,1933505
75,2340925
94,2980262
87,1923238
91,3030672
104,2287335
65,1990041
83,1785297
76,2892799
87,2595175
87,2535208
83,2510012
93,2491942
75,1979320
73,1285542
59,1543656
86,1834908
92,2477700
91,2647291
81,1970735
80,2277438
87,2918710
99,2667225
89,2009031
92,2059701
73,1298443
83,2043993
89,3375883
81,1783533
65,980129
88,2528986
77,2243791
94,2002357
91,2400892
77,1225240
79,1495785
75,1310927
80,2555688
86,3002396
74,1752900
74,1751584
91,2732745
67,2006436
103,2900217
77,1992484
95,2049908
75,1856396
85,1975528
77,1509727
70,2573225
83,2057911
86,3885284
85,1373087
94,2140217
67,2552753
84,2562435
87,2934154
74,2372377
57,1051863
84,1641661
65,1196152
